sku_type_id,sku_supplier_id,sku_internal_code,sku_code,sku_origin,sku_size_d,sku_size_w,sku_size_h,sku_shape_id,sku_colour_id,sku_weight
12,7c767960-95dd-4b91-8f4a-0141bc0605b9,0,33G5-3697,,0,0,0,16,,0.33
12,7c767960-95dd-4b91-8f4a-0141bc0605b9,0,33E6-3110,,0,0,0,16,,0.33
12,7c767960-95dd-4b91-8f4a-0141bc0605b9,0,35E7-1661,,0,0,0,16,,0.35
12,7c767960-95dd-4b91-8f4a-0141bc0605b9,0,30G5-6936,,0,0,0,16,,0.3
12,7c767960-95dd-4b91-8f4a-0141bc0605b9,0,30F6-5254,,0,0,0,16,,0.3
12,7c767960-95dd-4b91-8f4a-0141bc0605b9,0,30E7-9775,,0,0,0,16,,0.3
12,7c767960-95dd-4b91-8f4a-0141bc0605b9,0,45G7-9478,,0,0,0,16,,0.45
12,7c767960-95dd-4b91-8f4a-0141bc0605b9,0,40F7-7053,,0,0,0,16,,0.4
12,7c767960-95dd-4b91-8f4a-0141bc0605b9,0,41F7-0772,,0,0,0,16,,0.41
12,7c767960-95dd-4b91-8f4a-0141bc0605b9,0,41G7-6483,,0,0,0,16,,0.41
12,7c767960-95dd-4b91-8f4a-0141bc0605b9,0,43I2-6980,,0,0,0,16,,0.43
12,7c767960-95dd-4b91-8f4a-0141bc0605b9,0,44I3-7641,,0,0,0,16,,0.44
